ID	Description	Cluster	FoldEnrichment	pvalue	p.adjust	p.adjust_hyper	GeneHits	GeneSetSize	RegionHits
GO:0042471	ear morphogenesis	actinopterygii	2.40530838899151	1.3654824310822e-06	9.22383382196024e-05	9.71353648441633e-08	24	108	38
GO:0043484	regulation of RNA splicing	actinopterygii	2.45115494039822	2.33044349745898e-06	0.000149925198336528	1.28735894920961e-05	22	125	35
GO:0045743	positive regulation of fibroblast growth factor receptor signaling pathway	actinopterygii	5.13141263839754	2.67914282394793e-06	0.000150183128283401	0.00104940156277385	6	17	13
GO:0006974	DNA damage response	actinopterygii	1.80584219239845	2.71264893439406e-06	0.000150183128283401	1.28735894920961e-05	53	488	71
GO:0042472	inner ear morphogenesis	actinopterygii	2.36449130302048	2.73371372921868e-06	0.000150183128283401	2.90050140399861e-07	23	107	37
GO:0000122	negative regulation of transcription by RNA polymerase II	actinopterygii	1.89237260248462	2.77911044195784e-06	0.000150183128283401	2.32381576846156e-08	44	291	62
GO:0071600	otic vesicle morphogenesis	actinopterygii	3.34244448656345	4.75131075126776e-06	0.000246885416344721	0.000104848129772933	10	35	20
GO:0060839	endothelial cell fate commitment	actinopterygii	5.55530322372825	7.43835064031904e-06	0.000372193026484112	0.132044523332989	2	10	11
GO:0019941	modification-dependent protein catabolic process	actinopterygii	1.75691566064991	1.03864044372769e-05	0.00050114401409861	1.14712684547495e-08	58	438	68
GO:0019228	neuronal action potential	actinopterygii	7.79774525906751	1.21660341225544e-05	0.000550268233242894	0.00143383119525945	5	12	8
GO:0043632	modification-dependent macromolecule catabolic process	actinopterygii	1.74771570694331	1.22191317522478e-05	0.000550268233242894	1.33320388117848e-08	58	441	68
GO:0060173	limb development	actinopterygii	2.39846240513675	1.28886776149656e-05	0.000550799159127124	1.68461821975937e-05	18	90	31
GO:0043049	otic placode formation	actinopterygii	3.50708362926936	1.30463161303242e-05	0.000550799159127124	3.15746447272177e-05	9	24	17
GO:0021903	rostrocaudal neural tube patterning	actinopterygii	2.68575746269237	1.41404930825918e-05	0.000577782084437847	0.000619014907368163	11	53	25
GO:0071697	ectodermal placode morphogenesis	actinopterygii	3.20219153181621	1.45407778466964e-05	0.000577782084437847	2.67335792557194e-05	11	36	19
GO:0031017	exocrine pancreas development	actinopterygii	3.31297565277536	1.5551175715032e-05	0.000583601066416897	0.0020762304982547	10	53	18
GO:0035272	exocrine system development	actinopterygii	3.31297565277536	1.5551175715032e-05	0.000583601066416897	0.0020762304982547	10	53	18
GO:0048634	regulation of muscle organ development	actinopterygii	6.40114596877247	1.66234991996302e-05	0.000596000253356737	0.018207961905284	4	15	9
GO:0006397	mRNA processing	actinopterygii	1.79112769275117	1.67638857346824e-05	0.000596000253356737	2.38522077481941e-06	44	348	61
GO:0060788	ectodermal placode formation	actinopterygii	3.28249704596284	1.75295493962864e-05	0.000607241570112383	3.98291984722225e-05	10	31	18
GO:0043583	ear development	actinopterygii	1.87257956305739	1.86625695338375e-05	0.00063032828600536	1.76494978518941e-06	32	209	53
GO:0071696	ectodermal placode development	actinopterygii	2.93217254473463	1.92255010946664e-05	0.0006335037068023	3.15746447272177e-05	12	44	21
GO:0039019	pronephric nephron development	actinopterygii	2.75080611868342	2.12501755769672e-05	0.000683547314392444	2.86479286613891e-05	13	51	23
GO:0006281	DNA repair	actinopterygii	1.85753231361091	2.30104888618403e-05	0.000722957452380144	0.00078204051975812	37	363	53
GO:0006511	ubiquitin-dependent protein catabolic process	actinopterygii	1.72380182719386	2.4532835015677e-05	0.000741690974889609	1.33320388117848e-08	57	429	66
GO:0016071	mRNA metabolic process	actinopterygii	1.64089078729499	2.47047326943245e-05	0.000741690974889609	1.82273108885818e-07	59	491	78
GO:0090596	sensory organ morphogenesis	actinopterygii	1.62104052102298	2.61690499344109e-05	0.000757657665967525	1.04702794915742e-11	58	367	81
GO:0032350	regulation of hormone metabolic process	actinopterygii	6.98292698623008	2.64940520642728e-05	0.000757657665967525	0.000962294350793612	5	11	8
GO:0098900	regulation of action potential	actinopterygii	5.33209431821701	2.69189992349676e-05	0.000757657665967525	5.35090562566168e-05	6	10	10
GO:0048839	inner ear development	actinopterygii	1.85530895887873	2.81761414087828e-05	0.000776856470270726	4.40656458771274e-06	31	207	52
GO:0048736	appendage development	actinopterygii	2.06370451578144	3.0868786235512e-05	0.000820111417952717	1.17406114795168e-05	23	134	39
GO:0030277	maintenance of gastrointestinal epithelium	actinopterygii	5.90491635595581	3.09590542676451e-05	0.000820111417952717	0.16650271497851	2	12	9
GO:0009880	embryonic pattern specification	actinopterygii	2.71729662903518	3.78985929253503e-05	0.000976988504253423	0.046703088310166	9	79	22
GO:0072148	epithelial cell fate commitment	actinopterygii	4.63484516109725	3.83274542749307e-05	0.000976988504253423	0.223317391166924	2	15	11
GO:0030916	otic vesicle formation	actinopterygii	3.17421856961019	4.45105154690392e-05	0.00111358715553096	0.00010232291891146	9	28	17
GO:0033339	pectoral fin development	actinopterygii	2.34714959873508	4.74787563936886e-05	0.00114932276537733	5.92590309975365e-05	16	81	28
GO:1903432	regulation of TORC1 signaling	actinopterygii	3.64830973377446	4.835603745524e-05	0.00114932276537733	0.00126722246403098	10	49	14
GO:0035118	embryonic pectoral fin morphogenesis	actinopterygii	2.92229271794605	4.88595063038882e-05	0.00114932276537733	1.50263458380307e-05	11	34	19
GO:0045879	negative regulation of smoothened signaling pathway	actinopterygii	3.64130735803513	4.93417619481016e-05	0.00114932276537733	0.000112637463640326	8	22	14
GO:0030901	midbrain development	actinopterygii	2.99164310590112	5.69378840527994e-05	0.00130378103992088	0.0139096668068562	7	40	18
GO:0033333	fin development	actinopterygii	2.03878731920055	6.18657717207077e-05	0.00139301095991127	1.52805551695854e-05	22	127	37
GO:0001501	skeletal system development	actinopterygii	1.52415607512765	6.42952187331382e-05	0.00141526748673267	7.52987075212693e-13	68	447	93
GO:0030855	epithelial cell differentiation	actinopterygii	1.6143216902878	6.49493591246675e-05	0.00141526748673267	9.99597967885138e-07	45	348	74
GO:0050684	regulation of mRNA processing	actinopterygii	2.37992550710225	6.96803523223521e-05	0.0014827740864927	2.32951083480977e-05	18	92	26
GO:0031016	pancreas development	actinopterygii	2.02576071896582	7.02424437716749e-05	0.0014827740864927	1.4399868725894e-05	26	167	37
GO:0060972	left/right pattern formation	actinopterygii	1.73594703757017	8.15038067276694e-05	0.00169402527521664	6.65562219702484e-06	40	315	56
GO:0046496	nicotinamide nucleotide metabolic process	actinopterygii	2.63329796677397	8.64149727146586e-05	0.00176888830511369	0.0030567803292999	14	98	21
GO:0007586	digestion	actinopterygii	3.65200389017899	8.77984974626805e-05	0.00177038462794151	0.0681042067978481	5	36	13
GO:0030490	maturation of SSU-rRNA	actinopterygii	4.1809277463165	9.45525594347146e-05	0.00187853687935734	0.0453166257249926	6	42	11
GO:0021532	neural tube patterning	actinopterygii	2.37679726042051	9.68832628333046e-05	0.00189694620417093	0.00175391013192426	11	61	25
GO:0055123	digestive system development	actinopterygii	2.03465614351055	9.98612040986617e-05	0.00192732123910417	0.000137140130592542	23	160	35
GO:0072006	nephron development	actinopterygii	2.00366784579951	0.000107646446822192	0.00202498103182587	0.000307391247818435	18	115	36
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	actinopterygii	2.66426042967933	0.000107919048328248	0.00202498103182587	9.68431151142933e-05	13	58	20
GO:0016055	Wnt signaling pathway	actinopterygii	1.64367356579033	0.000121103702035746	0.00224124796507251	1.2658522874444e-07	44	309	64
GO:0019226	transmission of nerve impulse	actinopterygii	3.52502437314719	0.000123854493702776	0.00226118136476284	0.000680742988788056	8	29	13
GO:0038202	TORC1 signaling	actinopterygii	3.13060203196439	0.000141019950694885	0.0025204562334434	0.00140609121250818	11	59	15
GO:0072524	pyridine-containing compound metabolic process	actinopterygii	2.53659088585385	0.000143043178803059	0.0025204562334434	0.00462891148136903	14	103	21
GO:0022600	digestive system process	actinopterygii	3.69947006469983	0.000143652945947551	0.0025204562334434	0.0976029689366558	4	29	12
GO:0060729	intestinal epithelial structure maintenance	actinopterygii	5.44059982239674	0.000146999913241373	0.00254611388191147	0.471107419850957	1	11	8
GO:0032787	monocarboxylic acid metabolic process	actinopterygii	1.76581312170412	0.000149241373690841	0.00255221640324463	0.000256038279083778	37	339	49
GO:0009799	specification of symmetry	actinopterygii	1.66665962749852	0.00017409707555568	0.00286228328974453	5.44448149793584e-06	42	336	58
GO:0009855	determination of bilateral symmetry	actinopterygii	1.66665962749852	0.00017409707555568	0.00286228328974453	5.44448149793584e-06	42	336	58
GO:0007368	determination of left/right symmetry	actinopterygii	1.70103019259273	0.00017647379175959	0.00286228328974453	9.52457633578835e-06	39	308	54
GO:0035113	embryonic appendage morphogenesis	actinopterygii	2.5638480860945	0.000177320556201568	0.00286228328974453	1.56303372051866e-05	12	41	20
GO:0048701	embryonic cranial skeleton morphogenesis	actinopterygii	1.76366395920197	0.000177965800398624	0.00286228328974453	2.43654781844467e-09	35	182	48
GO:0060070	canonical Wnt signaling pathway	actinopterygii	1.81129372617464	0.000185722145730151	0.00295188963389922	0.000423442293671144	25	198	44
GO:0015868	purine ribonucleotide transport	actinopterygii	4.61639394072121	0.000195101676125554	0.00306491121448399	0.0104656130800724	6	28	9
GO:0009132	nucleoside diphosphate metabolic process	actinopterygii	3.02452965269782	0.000202928897392158	0.0031309692082642	0.0094032122075038	10	67	15
GO:0001757	somite specification	actinopterygii	4.5883867022546	0.000203941739694485	0.0031309692082642	0.0109734805026162	5	20	9
GO:0015865	purine nucleotide transport	actinopterygii	4.55615451960456	0.000214667578999388	0.00322239888031303	0.0133222627960414	6	30	9
GO:0051503	adenine nucleotide transport	actinopterygii	4.55615451960456	0.000214667578999388	0.00322239888031303	0.0133222627960414	6	30	9
GO:0010498	proteasomal protein catabolic process	actinopterygii	1.70800556692847	0.000239272287910555	0.00351547377880903	1.38425823924412e-07	47	344	51
GO:0007379	segment specification	actinopterygii	4.48663271163706	0.000239990301541528	0.00351547377880903	0.0129787130320549	5	21	9
GO:0031644	regulation of nervous system process	actinopterygii	4.06390134441727	0.000241997824892109	0.00351547377880903	0.00933618760934766	5	19	10
GO:0072498	embryonic skeletal joint development	actinopterygii	4.46605505294176	0.000248106085701327	0.00356586512534566	0.000259526946258489	6	13	9
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	actinopterygii	1.78064492004234	0.000264957586444898	0.00376797578196903	3.21787161799658e-07	40	277	44
GO:0008380	RNA splicing	actinopterygii	1.66206987036294	0.000269146602638165	0.00378767771004335	5.35241049374784e-05	39	336	55
GO:0060993	kidney morphogenesis	actinopterygii	2.70074731268922	0.000292967893143998	0.00408040849110868	0.0726598554048175	6	49	17
GO:0000380	alternative mRNA splicing, via spliceosome	actinopterygii	2.42168122807193	0.000363656494737271	0.00497828997657375	0.000467297111801561	13	69	20
GO:0021983	pituitary gland development	actinopterygii	3.55970248318412	0.000368195486767161	0.00497828997657375	0.000304003670478218	7	19	11
GO:0060537	muscle tissue development	actinopterygii	1.64785457692799	0.000370747522292791	0.00497828997657375	7.92751225736782e-07	39	276	54
GO:0035775	pronephric glomerulus morphogenesis	actinopterygii	3.84463230035563	0.000372174158130236	0.00497828997657375	0.000391308370441729	6	14	10
GO:0035138	pectoral fin morphogenesis	actinopterygii	2.47771569889641	0.000383264450768228	0.00507637522537133	8.12672420680505e-05	11	41	19
GO:0014706	striated muscle tissue development	actinopterygii	1.65303654433046	0.000389062696405745	0.00510314274605982	8.64456283618492e-07	38	266	53
GO:1903311	regulation of mRNA metabolic process	actinopterygii	1.77702814965716	0.00043648340858891	0.00567008735580402	1.270071163266e-06	31	195	41
GO:0048024	regulation of mRNA splicing, via spliceosome	actinopterygii	2.26824688826325	0.000455563560981255	0.00580766159428838	0.000541134322060523	14	80	22
GO:1904262	negative regulation of TORC1 signaling	actinopterygii	4.58444507276815	0.000455671450032989	0.00580766159428838	0.0517919844563431	4	22	8
GO:0071698	olfactory placode development	actinopterygii	5.23777890123945	0.00047145500360586	0.0059526701857151	0.00197991016244902	5	13	7
GO:0034198	cellular response to amino acid starvation	actinopterygii	4.39213124587953	0.000600900893795502	0.00751682506960855	0.0569920854210617	4	23	8
GO:0007219	Notch signaling pathway	actinopterygii	1.97677212509134	0.000719645930177834	0.0088979537951739	8.02152541783157e-05	20	122	28
GO:0006096	glycolytic process	actinopterygii	3.07528570614412	0.000731068002416212	0.0088979537951739	0.0135500354098997	8	50	12
GO:0046032	ADP catabolic process	actinopterygii	3.07528570614412	0.000731068002416212	0.0088979537951739	0.0135500354098997	8	50	12
GO:0039021	pronephric glomerulus development	actinopterygii	2.77740946745774	0.000739416920290387	0.00891921660100279	0.000220990562774699	9	31	14
GO:0046034	ATP metabolic process	actinopterygii	2.47788144453543	0.000754844296391736	0.009024731366595	0.00402346156871823	13	90	17
GO:0009137	purine nucleoside diphosphate catabolic process	actinopterygii	3.05478786084333	0.000773824113577426	0.00909075110820089	0.0148972846773483	8	51	12
GO:0009181	purine ribonucleoside diphosphate catabolic process	actinopterygii	3.05478786084333	0.000773824113577426	0.00909075110820089	0.0148972846773483	8	51	12
GO:0061061	muscle structure development	actinopterygii	1.44748694361635	0.000826258992402891	0.00962306809255436	4.01692919243252e-07	55	455	81
GO:0007212	G protein-coupled dopamine receptor signaling pathway	actinopterygii	3.44878460921382	0.000847484600558251	0.00978591192610425	0.00254681811374112	7	28	10
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	actinopterygii	6.988337729026	0.000862139132766419	0.0098707624437918	0.00737472373421688	4	11	5
GO:0019364	pyridine nucleotide catabolic process	actinopterygii	3.00725396104952	0.00088362681138916	0.00994816518488962	0.0175785805482074	8	53	12
GO:0072526	pyridine-containing compound catabolic process	actinopterygii	3.00725396104952	0.00088362681138916	0.00994816518488962	0.0175785805482074	8	53	12
GO:0032006	regulation of TOR signaling	actinopterygii	2.43929181717564	0.000892726878254483	0.00996755382249426	0.00159864531888062	13	80	17
GO:0006862	nucleotide transport	actinopterygii	3.70514678840811	0.000927467269383022	0.0101964389353341	0.0237068662439863	6	35	9
GO:0009185	ribonucleoside diphosphate metabolic process	actinopterygii	2.83778850020707	0.000928321235415314	0.0101964389353341	0.0118556029164055	9	59	13
GO:0072009	nephron epithelium development	actinopterygii	2.0482383735394	0.00104215319594904	0.0113544271590899	0.00511874595715367	11	71	24
GO:0046031	ADP metabolic process	actinopterygii	2.9426287453067	0.00106043815066382	0.0114612155323746	0.0191733509643329	8	54	12
GO:0009117	nucleotide metabolic process	actinopterygii	1.68095300864469	0.00108163580217951	0.0115975394344803	0.000531200773381517	32	289	42
GO:0009135	purine nucleoside diphosphate metabolic process	actinopterygii	2.92385577020626	0.00111863027425833	0.011806792972836	0.0210606016186714	8	55	12
GO:0009179	purine ribonucleoside diphosphate metabolic process	actinopterygii	2.92385577020626	0.00111863027425833	0.011806792972836	0.0210606016186714	8	55	12
GO:0008283	cell population proliferation	actinopterygii	1.43764018193693	0.00114183386765137	0.0119582756216822	1.67476293145247e-06	54	465	79
GO:0007517	muscle organ development	actinopterygii	1.66061581682243	0.00119511844253844	0.012420038583611	0.000146662216011153	29	230	43
GO:0010669	epithelial structure maintenance	actinopterygii	3.53990635429762	0.00126658751518009	0.0130196723171636	0.298716687562923	2	19	9
GO:0001503	ossification	actinopterygii	1.8756225330223	0.00128335706954404	0.0130196723171636	5.44448149793584e-06	22	118	29
GO:0030917	midbrain-hindbrain boundary development	actinopterygii	2.43145544529189	0.00128460868569688	0.0130196723171636	0.00250643202808776	9	45	16
GO:0033334	fin morphogenesis	actinopterygii	1.98235496835187	0.00129136646225013	0.0130196723171636	2.9607869998599e-05	16	76	25
GO:0009191	ribonucleoside diphosphate catabolic process	actinopterygii	2.86899055080999	0.00130914489537169	0.0130800818100918	0.0160963870487425	8	52	12
GO:0016037	light absorption	actinopterygii	4.37563272610159	0.0013264035588324	0.0130800818100918	0.00477225183311111	5	16	7
GO:0016038	absorption of visible light	actinopterygii	4.37563272610159	0.0013264035588324	0.0130800818100918	0.00477225183311111	5	16	7
GO:0044057	regulation of system process	actinopterygii	1.78683397117957	0.00136539036626322	0.0133669738030552	0.000285950584178451	23	169	33
GO:0009141	nucleoside triphosphate metabolic process	actinopterygii	2.16667267985976	0.00137621757869923	0.0133760427972854	0.00756069504263623	15	122	20
GO:0007422	peripheral nervous system development	actinopterygii	2.21460281048898	0.00140163110772585	0.0134565263725419	0.00780980352013465	10	65	19
GO:0006163	purine nucleotide metabolic process	actinopterygii	1.73422133762718	0.00141155314917782	0.0134565263725419	0.000852455288853061	28	247	36
GO:0031929	TOR signaling	actinopterygii	2.21142241707315	0.00142424265211057	0.0134565263725419	0.00143383119525945	15	100	19
GO:0009205	purine ribonucleoside triphosphate metabolic process	actinopterygii	2.26866124999807	0.00142433994912915	0.0134565263725419	0.00531374328330327	14	105	18
GO:0009144	purine nucleoside triphosphate metabolic process	actinopterygii	2.25380161878363	0.0015283886526259	0.0143392574284555	0.00611751475203989	14	107	18
GO:0048703	embryonic viscerocranium morphogenesis	actinopterygii	1.8091168306144	0.00155366215727171	0.0144758453412006	6.30942914471285e-07	23	112	31
GO:0007602	phototransduction	actinopterygii	2.55858443366622	0.00158124090578385	0.014631893587082	0.000299814089177987	11	48	14
GO:0035107	appendage morphogenesis	actinopterygii	1.94954334023573	0.00161003173448555	0.0147969583217005	4.4750171963089e-05	16	79	25
GO:0009409	response to cold	actinopterygii	4.85439972220135	0.00173002412688691	0.0157923148339474	0.0622821549224761	3	14	6
GO:0014032	neural crest cell development	actinopterygii	1.64777516385174	0.00175411909615896	0.0157987659927384	8.90494054595146e-05	23	155	41
GO:0048864	stem cell development	actinopterygii	1.64777516385174	0.00175411909615896	0.0157987659927384	8.90494054595146e-05	23	155	41
GO:0072088	nephron epithelium morphogenesis	actinopterygii	3.35331107257559	0.00182284229008436	0.0162084785114275	0.259902772278541	2	17	9
GO:0070306	lens fiber cell differentiation	actinopterygii	3.35310087522482	0.00182360379995335	0.0162084785114275	8.38332004728387e-05	8	21	9
GO:0016114	terpenoid biosynthetic process	actinopterygii	4.79133807390052	0.00184599989907363	0.0163002997624083	0.0705261844858133	3	15	6
GO:0061053	somite development	actinopterygii	1.75163346381235	0.00186059785277975	0.0163225175266587	2.86479286613891e-05	24	153	33
GO:0048793	pronephros development	actinopterygii	1.731628960302	0.0019230429736528	0.0166665135623005	0.000230052973652127	22	155	34
GO:0007005	mitochondrion organization	actinopterygii	1.86965695073552	0.00192448269113166	0.0166665135623005	0.000831233433619614	25	209	27
GO:0008589	regulation of smoothened signaling pathway	actinopterygii	2.40813722818034	0.00195848604206556	0.016852959508475	0.0021351063811322	9	44	15
GO:0001508	action potential	actinopterygii	1.91846794593995	0.00198496165458834	0.0169241762210668	3.98291984722225e-05	17	87	25
GO:0032784	regulation of DNA-templated transcription elongation	actinopterygii	3.62772093529091	0.0019918164464468	0.0169241762210668	0.0828558583741223	4	27	8
GO:0016072	rRNA metabolic process	actinopterygii	1.91508091200335	0.00203082299710326	0.0170061239718049	0.0135295089157144	19	185	25
GO:1901679	nucleotide transmembrane transport	actinopterygii	5.73979637894459	0.00203185551516728	0.0170061239718049	0.00477225183311111	5	16	5
GO:0009583	detection of light stimulus	actinopterygii	2.3204269803918	0.00203922434006839	0.0170061239718049	0.000134026901908223	13	60	16
GO:0072102	glomerulus morphogenesis	actinopterygii	3.03856023999403	0.00213078285118289	0.0175726763470322	0.00104940156277385	6	17	10
GO:0048863	stem cell differentiation	actinopterygii	1.47837787185139	0.00214753545739001	0.0175726763470322	1.270071163266e-06	39	282	61
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	actinopterygii	1.66262214873717	0.00217200762493673	0.0175726763470322	0.0016085522627784	27	246	38
GO:0000398	mRNA splicing, via spliceosome	actinopterygii	1.66262214873717	0.00217200762493673	0.0175726763470322	0.0016085522627784	27	246	38
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	actinopterygii	4.63293243823482	0.00217940009971323	0.0175726763470322	0.122603885272681	3	20	6
GO:0060562	epithelial tube morphogenesis	actinopterygii	1.52477898632632	0.00218520327631489	0.0175726763470322	2.53359837723292e-06	38	279	53
GO:0000375	RNA splicing, via transesterification reactions	actinopterygii	1.66044612296988	0.00221957266765977	0.0177434477751973	0.00168028357175687	27	247	38
GO:0032388	positive regulation of intracellular transport	actinopterygii	5.56764444360576	0.00231478467873	0.0183957300056719	0.018207961905284	4	15	5
GO:0048048	embryonic eye morphogenesis	actinopterygii	1.95213970214848	0.00237142786366818	0.0187356669228989	3.4259099534126e-05	14	60	23
GO:0009134	nucleoside diphosphate catabolic process	actinopterygii	2.65360859444118	0.00246806444676351	0.0193857852766134	0.0266727377840339	8	58	12
GO:0010038	response to metal ion	actinopterygii	2.42136885324458	0.00258833431928445	0.0202129460425046	0.193709573710156	6	69	14
GO:1990928	response to amino acid starvation	actinopterygii	3.45929143648301	0.00265655118583572	0.0206264405291038	0.0626594577106804	4	24	8
GO:0061386	closure of optic fissure	actinopterygii	2.32655793703141	0.00269655761005807	0.0208174247496483	5.87501970993186e-05	9	26	15
GO:0072028	nephron morphogenesis	actinopterygii	2.93525307615408	0.00272039465634287	0.0208821203449956	0.133692378714273	3	21	10
GO:0006325	chromatin organization	actinopterygii	1.53507787997973	0.00275221083033352	0.0208990339881236	0.00108222483264578	39	398	49
GO:0072073	kidney epithelium development	actinopterygii	1.86999216979134	0.00275353667645152	0.0208990339881236	0.00558038557038852	12	83	25
GO:0003205	cardiac chamber development	actinopterygii	2.17880826450888	0.00285151296926309	0.021521754309913	0.000234444730758406	12	55	17
GO:0021915	neural tube development	actinopterygii	1.71556481462435	0.00293361693048825	0.021960597530238	0.000146662216011153	19	118	32
GO:0006090	pyruvate metabolic process	actinopterygii	2.38496082444721	0.00295604529345339	0.021960597530238	0.016935339677207	10	75	14
GO:0035850	epithelial cell differentiation involved in kidney development	actinopterygii	2.11617667235543	0.00295842246521341	0.021960597530238	0.0148972846773483	8	51	18
GO:0022414	reproductive process	actinopterygii	1.5286405017346	0.00297867646747238	0.0219901197134163	0.00062841508902772	40	399	49
GO:0061005	cell differentiation involved in kidney development	actinopterygii	2.11213958213061	0.00301687904218662	0.0220800538295818	0.0160963870487425	8	52	18
GO:0072530	purine-containing compound transmembrane transport	actinopterygii	5.22829864320625	0.00302354549109744	0.0220800538295818	0.00756069504263623	5	18	5
GO:0061326	renal tubule development	actinopterygii	2.47086552436597	0.00305304857576679	0.0221756377734458	0.00902988663149393	7	36	13
GO:0062207	regulation of pattern recognition receptor signaling pathway	actinopterygii	3.08802205446547	0.00313207015563364	0.0226279506965832	0.0030567803292999	7	29	9
GO:0006044	N-acetylglucosamine metabolic process	actinopterygii	4.27505389561829	0.00322583173505461	0.0231813759258446	0.00477225183311111	5	16	6
GO:0048885	neuromast deposition	actinopterygii	3.33523956407238	0.00330459859841381	0.0236217603516246	0.00477225183311111	5	16	8
GO:0051321	meiotic cell cycle	actinopterygii	2.13875091604272	0.00342347504403836	0.0242993383241526	0.020717529967532	13	115	17
GO:0032259	methylation	actinopterygii	1.74909571832318	0.00343536167277065	0.0242993383241526	0.000398593269266094	25	197	29
GO:0048066	developmental pigmentation	actinopterygii	1.88538538408404	0.00359469937525795	0.0252939523748619	0.000664243667865387	15	92	23
GO:0048596	embryonic camera-type eye morphogenesis	actinopterygii	1.98602919140783	0.00363640016068756	0.025334497702273	0.000100636873731923	12	50	20
GO:0009150	purine ribonucleotide metabolic process	actinopterygii	1.78145298161882	0.00365583672035092	0.025334497702273	0.00191321052400427	22	186	27
GO:0050805	negative regulation of synaptic transmission	actinopterygii	4.99726474122009	0.00365671876531698	0.025334497702273	0.0309582713879819	3	10	5
GO:0031669	cellular response to nutrient levels	actinopterygii	2.18032518735744	0.00369850955675609	0.0254932980162116	0.0290280829428258	9	71	16
GO:0031076	embryonic camera-type eye development	actinopterygii	1.90580974071581	0.0038321170883732	0.0262801532304172	0.000134026901908223	13	60	22
GO:0080134	regulation of response to stress	actinopterygii	1.52109317483517	0.00390136332953532	0.0266199083747586	0.000600455780559528	36	344	47
GO:0044093	positive regulation of molecular function	actinopterygii	1.97072964366762	0.00395181871861128	0.0267112661660986	0.0192533920610749	11	89	20
GO:0031647	regulation of protein stability	actinopterygii	2.39346890250506	0.00396692566973916	0.0267112661660986	0.00479286035419512	10	60	13
GO:0042391	regulation of membrane potential	actinopterygii	1.65090527753743	0.00397406698696211	0.0267112661660986	4.07787231879033e-05	24	157	34
GO:0015711	organic anion transport	actinopterygii	1.6230616666487	0.00404703703549186	0.027067064529453	0.000354752060625256	30	256	36
GO:0009581	detection of external stimulus	actinopterygii	1.96092967185903	0.00416834227974232	0.027548470250405	0.000214013932741895	16	91	20
